,value,stderr
n_PdIn,0.049163005150862915,0.0433796889089986
x_Ir,0.1749,0.0
amp_Ir,0.831,0.0
enot_Ir,5.627831198564678,0.31160840605435797
r_Ir_008K,1.335089718930949,0.0016353919633872172
ss_Ir_008K,0.0032074825830859005,0.0002915205699681634
r_Ir_050K,1.3348424359609712,0.0016542120867340544
ss_Ir_050K,0.0032648161694577484,0.00029708406934540337
r_Ir_100K,1.3351765284058141,0.0016662604428165923
ss_Ir_100K,0.003399665032041221,0.0002951825719716707
r_Ir_150K,1.3350973209086403,0.0017011064835360597
ss_Ir_150K,0.0036298139208539065,0.0002995833112667716
r_Ir_200K,1.334871113480752,0.0017514546892572528
ss_Ir_200K,0.0038528846353014638,0.0003044938596184044
r_Ir_300K,1.3333796413858288,0.001946162946850207
ss_Ir_300K,0.004308818357452536,0.00032587042986967905
r_Ir_100C,1.3332775656373224,0.0020620058298194666
ss_Ir_100C,0.004845772277587012,0.0003412119436206302
n_IrRu,0.23825507631004972,0.03781007930315587
n_IrRh,0.17289286894486167,0.04190857416315687
n_IrPd,0.0,0.0
n_IrIr,1.311847442590662,0.061832890310628635
n_IrPt,0.0,0.0
n_IrIn,5.489395874569425e-05,0.02292575219384224
x_Pt,0.1561,0.0
amp_Pt,0.861,0.0
enot_Pt,9.127573964714669,0.514024234119323
r_Pt_008K,1.3838922833630447,0.001556221680758072
ss_Pt_008K,0.00075535131414985,0.00019320505992654648
r_Pt_050K,1.3825943466830686,0.0017133809432730489
ss_Pt_050K,0.001038567744622603,0.000204550200408663
r_Pt_100K,1.3822250301837318,0.0016682236132898067
ss_Pt_100K,0.0009206285324684663,0.00019834414348402431
r_Pt_150K,1.3826441698355818,0.0019584574068115044
ss_Pt_150K,0.0013986895947614127,0.000223833977893617
r_Pt_200K,1.3819715826172727,0.0021861525754982942
ss_Pt_200K,0.001642734537845373,0.0002423336153990627
r_Pt_300K,1.3792903151388025,0.0024487789265663163
ss_Pt_300K,0.0022684242328104036,0.00027270053725745756
r_Pt_100C,1.3779047998546772,0.0035364657936203083
ss_Pt_100C,0.002802836386250964,0.0003583761115705125
n_PtRu,0.0,0.0
n_PtRh,0.22568971438116825,0.02689024893217507
n_PtPd,0.2554632342784726,0.018201942098690582
n_PtIr,0.0,0.0
n_PtPt,0.3159107643213357,0.03387561939269276
n_PtIn,0.279903165587573,0.03052301048280156
x_In,0.1418,0.0
amp_In,0.851,0.0
enot_In,4.906231153777962,0.6845810290698353
r_In_008K,1.4268470905339448,0.0030015619117903882
ss_In_008K,0.002486268830799828,0.0003857461481236811
r_In_050K,1.4256764266470983,0.0030955205154530093
ss_In_050K,0.0024522912393821037,0.00039461502022314864
r_In_100K,1.4276385032651133,0.0031472882452972823
ss_In_100K,0.00262619640220855,0.00039629235479651006
r_In_150K,1.428271275993126,0.0033411311592943995
ss_In_150K,0.0031641345698304934,0.0004104147460098321
r_In_200K,1.4263973135909076,0.003822186869164742
ss_In_200K,0.003634201260145518,0.0004406415242671294
r_In_300K,1.4232123045671927,0.0051121181963659605
ss_In_300K,0.004545319881707399,0.0005357494486354358
r_In_100C,1.4242590885923516,0.006746127041811124
ss_In_100C,0.006010147502966135,0.0006931009102720448
n_InRu,0.03587112652439273,0.03257852394056359
n_InRh,0.5889438059898191,0.05773855102585543
n_InPd,0.049163005150862915,0.04337968884818057
n_InIr,5.489395874569425e-05,0.022925752218324057
n_InPt,0.279903165587573,0.03052301052734804
n_InIn,0.09147011784871184,0.04362859235782366
