,Ru,Rh,Pd,Ir,Pt,In
Ru,0.24606664387990718,0.3203825229286132,0.27075037960112874,0.21680091361723228,0.0,0.18680346331714154
Rh,0.31110641459869226,0.7487471140721593,0.6497576992491074,0.23334395471283678,0.14972298933915387,0.3214841373575088
Pd,0.27262624871597474,0.6737672203751209,0.6643953606021478,0.0,0.105092044119884,0.2504600976270127
Ir,0.21618112809122855,0.2396144892118746,0.0,0.3535328205296091,0.0,0.13107920065089904
Pt,0.0,0.17226296561290885,0.11660436962646113,0.0,0.21701229591731433,0.1955349806713745
In,0.22974981622400273,0.40718301146583513,0.30592164208872047,0.161676672907786,0.21525395294321606,0.3076769559790103
