,val,std
Ru,277.8954684052682,78020.8771274525
Rh,244.5286744253696,52958.15843900263
Pd,215.80526108870342,36997.01895678275
Ir,229.0079202353464,80480.78983982783
Pt,207.60669240189753,60098.14464624157
