energy,mu,pre_edge,post_edge,bkg,norm,flat,k,chik,k3chik,kwin,r,chir_mag,chir_re,chir_im,rwin,q,chiq_mag,chiq_re,chiq_im
24099.865,-1.42071488942066,-1.4211293840618984,-0.9614595510080903,-1.42071488942066,0.0009642165166068695,0.0009642165166068695,0.0,0.10817494691411264,0.0,0.0,0.0,0.4341523205176571,0.4341523205176571,0.0,0.0,0.0,0.11299029346145961,0.07561250230278116,0.08396163357164196
24100.235,-1.42105007435468,-1.4212560857287988,-0.9616358117143591,-1.42105007435468,0.0004792331426550675,0.0004792331426550675,0.05,0.0843626377306749,1.0545329716334366e-05,0.0,0.030679615757712823,0.41574141485698585,0.37173101098331557,-0.18616385121878665,0.0,0.05,0.12825958938056578,0.08013330975475419,0.1001457684369138
24100.605,-1.42063455329746,-1.4213827873956992,-0.9618120545406939,-1.42063455329746,0.0017405766059008338,0.0017405766059008338,0.1,0.06049751937198549,6.04975193719855e-05,0.0,0.06135923151542565,0.36275832988241125,0.22309777006339238,-0.2860436870336733,0.0,0.1,0.1468688593590442,0.08001426791059268,0.12315916035828843
24100.975,-1.42087516874318,-1.4215094890625997,-0.9619882794870804,-1.42087516874318,0.0014755851293433897,0.0014755851293433897,0.15000000000000002,0.0369945875893878,0.00012485673311418387,0.0,0.09203884727313846,0.2825965355467245,0.07720959143690369,-0.2718445895969929,0.0,0.15000000000000002,0.16772925723391036,0.07222933698757494,0.15138040365441827
24101.346,-1.42097842420607,-1.4216365331664393,-0.9621649627646462,-1.42097842420607,0.0015309233610823199,0.0015309233610823199,0.2,0.014268838134225314,0.00011415070507380253,0.0,0.1227184630308513,0.19213912122954369,0.011298363493926674,-0.19180664453876564,0.0,0.2,0.19005714941870422,0.05435677031589179,0.1821182625822821
24101.742,-1.42132064193315,-1.4217721381937158,-0.9623535320888479,-1.42132064193315,0.0010502913869359374,0.0010502913869359374,0.25,-0.0072647332421586506,-0.00011351145690872891,0.0,0.15339807878856412,0.13926156777047263,0.03708808454261526,-0.1342321058571673,0.0,0.25,0.21329707728557382,0.02492194102305359,0.2118361159816982
24102.113,-1.42096868094029,-1.4218991822975555,-0.962530178201618,-1.42096868094029,0.0021645750949158887,0.0021645750949158887,0.30000000000000004,-0.027191130788420663,-0.0007341605312873583,0.0,0.18407769454627693,0.18766845910520497,0.09336281026438235,-0.16279691705452817,0.0,0.30000000000000004,0.23704405530901185,-0.016341185700427197,0.23648012560730344
24102.456,-1.42121276731821,-1.4220166381671406,-0.9626934765394708,-1.42121276731821,0.0018700013767175055,0.0018700013767175055,0.35000000000000003,-0.04509535875321728,-0.0019334635065441914,0.0,0.21475731030398976,0.283600321019435,0.09099863723724669,-0.2686045236091354,0.0,0.35000000000000003,0.26098874255553267,-0.06834004068355684,0.25188243801441956
24102.827,-1.42195474609184,-1.4221436822709803,-0.9628700880555456,-1.42195474609184,0.0004395120380022253,0.0004395120380022253,0.4,-0.06056242138520517,-0.003875994968653132,0.0,0.2454369260617026,0.37424548590653095,-0.020389316522597817,-0.37368965665797704,0.0,0.4,0.28488259440575825,-0.12860514080422084,0.25420230202356997
24103.197,-1.42169445748239,-1.4222703839378807,-0.9630462056256874,-1.42169445748239,0.0013397466347839797,0.0013397466347839797,0.45,-0.07318623651752394,-0.00666909580265937,0.0,0.2761165418194154,0.43935756102805756,-0.21133595907739736,-0.38519109391749956,0.0,0.45,0.3085163719601041,-0.19341158524336552,0.2403628724680117
