energy,mu,pre_edge,post_edge,bkg,norm,flat,k,chik,k3chik,kwin,r,chir_mag,chir_re,chir_im,rwin,q,chiq_mag,chiq_re,chiq_im
22899.615,-1.35750365516451,-1.3577833631460914,-0.9027698890361506,-1.35750365516451,0.0006684153496115784,0.0006684153496115784,0.0,0.38978918088708703,0.0,0.0,0.0,0.5433882992403257,0.5433882992403257,0.0,0.0,0.0,0.20294019972844515,0.16081687601855094,0.12378472059771846
22906.317,-1.36005199664499,-1.3602365171058173,-0.9061157955747703,-1.36005199664499,0.0004409466888899657,0.0004409466888899657,0.05,0.3304981801255263,4.131227251569079e-05,0.0,0.030679615757712823,0.5125891555465842,0.42532460119972393,-0.2860884932992869,0.0,0.05,0.21838287812043086,0.15639525933759496,0.15241917304883063
22912.927,-1.36260478925858,-1.3626559960186482,-0.9094101494087639,-1.36260478925858,0.00012236827937466918,0.00012236827937466918,0.1,0.2648642644149997,0.0002648642644149998,0.0,0.06135923151542565,0.4235315953914874,0.16091107487758946,-0.391773707995569,0.0,0.1,0.23636743729877702,0.14599021370163012,0.1858935795516985
22919.518,-1.36504838700095,-1.3650685203022297,-0.9126894741310849,-1.36504838700095,4.811234751910779e-05,4.811234751910779e-05,0.15000000000000002,0.19701978254289745,0.0006649417660822793,0.0,0.09203884727313846,0.2859205717564058,-0.05340718210169391,-0.28088831633492073,0.0,0.15000000000000002,0.256307491918503,0.12701022355179353,0.22262509635455952
22926.327,-1.3675678729424,-1.3675608398056296,-0.9160714336637739,-1.3675678729424,-1.6807016183857806e-05,-1.6807016183857806e-05,0.2,0.13109708329660918,0.0010487766663728737,0.0,0.1227184630308513,0.11520412590533911,-0.07393771937633009,-0.08834706717848809,0.0,0.2,0.27768444890023863,0.09737346177961079,0.2600520372965456
22932.853,-1.37019835056187,-1.3699495719365116,-0.9193072692752224,-1.37019835056187,-0.0005945037782074408,-0.0005945037782074408,0.25,0.07122851546352484,0.0011129455541175756,0.0,0.15339807878856412,0.07443166568253741,0.07405223613042076,-0.007505943002809274,0.0,0.25,0.3000543937073087,0.055833372481986804,0.2948139645612947
22939.718,-1.37261091636727,-1.372462389294543,-0.9227053196160924,-1.37261091636727,-0.0003549336514546009,-0.0003549336514546009,0.30000000000000004,0.021546427831034266,0.0005817535514379254,0.0,0.18407769454627693,0.2538582910771094,0.21837500654756536,-0.12944646949199184,0.0,0.30000000000000004,0.3230408042486812,0.002239351960072591,0.32303304244679626
22946.348,-1.37487665970324,-1.3748891888697434,-0.9259813320598838,-1.37487665970324,2.9940823144805144e-05,2.9940823144805144e-05,0.35000000000000003,-0.013828592573005147,-0.0005929009065675959,0.0,0.21475731030398976,0.4086310040281644,0.18310065501496728,-0.36531280785945025,0.0,0.35000000000000003,0.346322748531891,-0.06229760832015354,0.34067353015500357
22953.005,-1.37707690222498,-1.3773258713391394,-0.9292650337620785,-1.37707690222498,0.0005949589873786905,0.0005949589873786905,0.4,-0.03402923930955352,-0.0021778713158114257,0.0,0.2454369260617026,0.5199826501502743,-0.0631928026117642,-0.5161284977167733,0.0,0.4,0.36962321468961834,-0.13535638435078629,0.34394762690411157
22959.643,-1.379525280268,-1.379755599179286,-0.9325337240942915,-1.379525280268,0.0005503907852005775,0.0005503907852005775,0.45,-0.04586096709211122,-0.004179080626268635,0.0,0.2761165418194154,0.5745133434485178,-0.37549847030799205,-0.43481775561348984,0.0,0.45,0.3926992747082876,-0.21328587534600268,0.32972997397007225
22966.308,-1.38221389153275,-1.3821952099136317,-0.9358100442172983,-1.38221389153275,-4.4643277262583416e-05,-4.4643277262583416e-05,0.5,-0.057234800784395995,-0.007154350098049499,0.0,0.30679615757712825,0.5648202151753143,-0.5447543442907884,-0.1492132026564725,0.0,0.5,0.4153343907847093,-0.29141346969796095,0.29594061202731403
22972.978,-1.38476511619835,-1.384636650813568,-0.9390831387308438,-1.38476511619835,-0.00030699243760124855,-0.00030699243760124855,0.55,-0.07503742848660745,-0.012484352164459318,0.0,0.3374757733348411,0.4903617837210182,-0.4651478737453648,0.15521641177473727,0.0,0.55,0.43733263585178195,-0.3643690651415975,0.24185743476045055
22979.627,-1.38681812545732,-1.3870704050180196,-0.9423402693770342,-1.38681812545732,0.0006028699281714681,0.0006028699281714681,0.6000000000000001,-0.0886369708025628,-0.019145585693353576,0.0,0.36815538909255385,0.3576793006751687,-0.22077496579740535,0.2814123249053464,0.0,0.6000000000000001,0.45851445735743507,-0.42650026941907365,0.16832417470833094
22986.376,-1.38904575178855,-1.3895407625343124,-0.9456406088494376,-1.38904575178855,0.0011829221991440596,0.0011829221991440596,0.65,-0.09569591751064489,-0.026280491346360853,0.0,0.3988350048502667,0.17997016148749997,-0.019446827741863553,0.1789164048281071,0.0,0.65,0.4787136272305699,-0.4723446664943538,0.07782835556907743
22993.153,-1.39172267359761,-1.3920213689779208,-0.9489487832980643,-1.39172267359761,0.0007137893453347517,0.0007137893453347517,0.7000000000000001,-0.09982194887615584,-0.03423892846452146,0.0,0.4295146206079795,0.028497587236965768,-0.024552848819581023,-0.014466170646417559,0.0,0.7000000000000001,0.49777508314859237,-0.4971181472288593,-0.025565232237048836
22999.959,-1.39444109945335,-1.3945125903819635,-0.9522652068161008,-1.39444109945335,0.00017084115288052324,0.00017084115288052324,0.75,-0.10053833719398197,-0.04241461100371115,0.0,0.46019423636569234,0.23530611512152608,-0.2198264400463486,-0.08393630960516424,0.0,0.75,0.5155534334292492,-0.4971750129776472,-0.1364270837897065
23006.48,-1.39703657985737,-1.3968994923472549,-0.9554372025398408,-1.39703657985737,-0.0003275966437676036,-0.0003275966437676036,0.8,-0.1021139170381859,-0.05228232552355119,0.0,0.4908738521234052,0.4265412428527752,-0.41793756998491505,0.0852386030475299,0.0,0.8,0.5319119555930218,-0.4703962924738727,-0.24830959814237474
23013.341,-1.39934085191832,-1.3994108455728123,-0.9587687168984687,-1.39934085191832,0.00016726313197642628,0.00016726313197642628,0.8500000000000001,-0.11312853488239742,-0.06947506148465234,0.0,0.521553467881118,0.5776229707683114,-0.4095235642830733,0.4073557986037476,0.0,0.8500000000000001,0.5467219640299826,-0.4164675306320675,-0.3542029106063777
23019.99,-1.40160553606255,-1.4018445997772622,-0.961991549921386,-1.40160553606255,0.0005712881539721568,0.0005712881539721568,0.9,-0.10825962187906876,-0.07892126434984113,0.0,0.5522330836388308,0.6700390265180153,-0.13536453618922153,0.6562230866096426,0.0,0.9,0.559862456536573,-0.3370158974326211,-0.44706403916760196
23026.739,-1.40434738814765,-1.4043149572935567,-0.9652570759392205,-1.40434738814765,-7.749968575956439e-05,-7.749968575956439e-05,0.9500000000000001,-0.10231794697881717,-0.0877248497909634,0.0,0.5829126993965437,0.6910006693986092,0.25710025488658045,0.6413901964066658,0.0,0.9500000000000001,0.5712199751101174,-0.23558815001968303,-0.5203753294835435
23033.493,-1.40703915057515,-1.40678714497544,-0.9685191936793487,-1.40703915057515,-0.0006022152463506055,-0.0006022152463506055,1.0,-0.09863233139278578,-0.09863233139278578,0.0,0.6135923151542565,0.6349457030554745,0.5217716149115927,0.36181546083764765,0.0,1.0,0.5806886355985664,-0.11746477727721943,-0.568683846801136
23040.129,-1.4094700030415,-1.4092161407493515,-0.9717186407274738,-1.4094700030415,-0.0006066521655917366,-0.0006066521655917366,1.05,-0.08484203318593474,-0.09821525866686771,0.0,0.6442719309119693,0.5043600537202266,0.5041918867158081,0.013023254532707685,0.0,1.05,0.5881702955306064,0.010679646927848669,-0.5880733301945067
23046.939,-1.41215832157203,-1.4117088262858681,-0.9749961281852961,-1.41215832157203,-0.0010741543632400022,-0.0010741543632400022,1.1,-0.07064760346700391,-0.09403196021458224,0.0,0.6749515466696822,0.30976280051433935,0.2642622069236789,-0.1616121238469228,0.0,1.1,0.593574841251819,0.14124560879759168,-0.576524735082997
23053.607,-1.41458496341681,-1.4141495351195692,-0.9781995318058918,-1.41458496341681,-0.0010405386213348901,-0.0010405386213348901,1.1500000000000001,-0.06849874324214733,-0.10417802612840085,0.0,0.705631162427395,0.0688737995420293,0.032449714056650265,-0.06075044296955594,0.0,1.1500000000000001,0.5968205856413046,0.26627049976296074,-0.5341299770666433
23060.473,-1.41701889357105,-1.416662718510719,-0.9814921197078661,-1.41701889357105,-0.0008511479584104663,-0.0008511479584104663,1.2000000000000002,-0.047765785705631426,-0.08253927769933114,0.0,0.7363107781851077,0.1955797851578382,0.031106777283313417,0.19309018817493673,0.0,1.2000000000000002,0.5978347773037019,0.3780368292770189,-0.46313559209365984
23067.198,-1.41937812128006,-1.4191242912321682,-0.9847112507713618,-1.41937812128006,-0.0006065751118161341,-0.0006065751118161341,1.25,-0.02654519518537077,-0.05184608434642729,0.0,0.7669903939428205,0.4571284353035877,0.2994614286526252,0.3453827718813361,0.0,1.25,0.5965542323394372,0.46967488060134,-0.36780763811293016
23074.072,-1.42166329725141,-1.4216404028882659,-0.987995732082581,-1.42166329725141,-5.47104292792684e-05,-5.47104292792684e-05,1.3,-0.01624144871012758,-0.0356824628161503,0.0,0.7976700097005334,0.6898294806302138,0.6588101421966063,0.2045333930815161,0.0,1.3,0.5929261118675418,0.5357068714471176,-0.2541250125798368
23080.708,-1.42426601024747,-1.4240693986621755,-0.9911607653828227,-1.42426601024747,-0.0004698407273877418,-0.0004698407273877418,1.35,0.007614862486572857,0.018735417290401696,0.0,0.8283496254582462,0.8705625921934481,0.8445086075305921,-0.21138694078233908,0.0,1.35,0.5869088840698576,0.5724834795795997,-0.12932402641643864
23087.518,-1.42684434244665,-1.426562084198694,-0.9944029367431568,-1.42684434244665,-0.0006745096955106172,-0.0006745096955106172,1.4000000000000001,0.015686937574414986,0.04304495670419473,0.0,0.859029241215959,0.982370806433892,0.7008087935866056,-0.6884180678666573,0.0,1.4000000000000001,0.5784735310101049,0.5784719995174741,-0.0013311098956589674
23094.283,-1.42905714950091,-1.4290382982448806,-0.9976178159043201,-1.42905714950091,-4.504865688209645e-05,-4.504865688209645e-05,1.4500000000000002,0.037127199509488375,0.11318690860461404,0.0,0.8897088569736719,1.0174039848006464,0.2874166524070458,-0.9759623641346841,0.0,1.4500000000000002,0.5676050914423386,0.5543677749194126,0.12186841248726062
23100.931,-1.43119753051353,-1.4314716864162138,-1.0007713961987648,-1.43119753051353,0.0006551476025262915,0.0006551476025262915,1.5,0.051042916882326234,0.17226984447785104,0.0,0.9203884727313847,0.9797678677655752,-0.1800660632994515,-0.9630790660967248,0.0,1.5,0.5543046769041374,0.5030158809793008,0.23287056130051742
23107.656,-1.43341387917137,-1.433933259137663,-1.003955755960213,-1.43341387917137,0.0012411570802820559,0.0012411570802820559,1.55,0.05354931940260302,0.19941097179036835,0.0,0.9510680884890975,0.8886863346750826,-0.49990835305524006,-0.7347482834167294,0.0,1.55,0.5385921687019695,0.4291469875206126,0.32544490668786613
23114.506,-1.43584126006753,-1.4364405859989189,-1.0071933626739948,-1.43584126006753,0.001432203148783264,0.001432203148783264,1.6,0.062419493140365274,0.25567024390293625,0.0,0.9817477042468103,0.7820801481171972,-0.6229294507252202,-0.4728723479948817,0.0,1.6,0.5205099129244095,0.3389484011203567,0.39502474711153246
23121.36,-1.43798123874603,-1.438949376992647,-1.0104268581031164,-1.43798123874603,0.0023135502280857657,0.0023135502280857657,1.6500000000000001,0.06905829316138294,0.31021848516757744,0.0,1.012427320004523,0.7144543499253965,-0.6508672857575537,-0.29464689792685045,0.0,1.6500000000000001,0.5001279043332466,0.23950689103158856,0.4390493933957179
23128.072,-1.44012255376766,-1.4414061912835576,-1.013587544201279,-1.44012255376766,0.0030674956578379863,0.0030674956578379863,1.7000000000000002,0.07064649025906208,0.3470862066427721,0.0,1.043106935762236,0.7270222038048088,-0.7071255258680365,-0.1689223948772153,0.0,1.7000000000000002,0.4775512297766066,0.13817256227109714,0.45712527833908845
23134.837,-1.44229037879268,-1.443882405329746,-1.0167673622450621,-1.44229037879268,0.0038044497992087245,0.0038044497992087245,1.75,0.06729771896769592,0.3606737125924953,0.0,1.0737865515199487,0.8020974942134897,-0.8018316043999614,0.020651111566766186,0.0,1.75,0.4529309976821703,0.04190148863482805,0.4509886405571115
23141.655,-1.44422232554529,-1.4463780191312106,-1.0199661747704099,-1.44422232554529,0.005151439275142228,0.005151439275142228,1.8,0.06862596120855444,0.4002266057682895,0.0,1.1044661672776617,0.8800919777954981,-0.8166340114768682,0.32813226095461845,0.0,1.8,0.4264807265432251,-0.04336185437445031,0.4242706208283177
23148.574,-1.44650339536934,-1.4489106022776364,-1.0232063002691376,-1.44650339536934,0.00575247813129973,0.00575247813129973,1.85,0.06278149860013088,0.39750890607405376,0.0,1.1351457830353744,0.9064017554894502,-0.6273277110976321,0.6542354967772408,0.0,1.85,0.3985013759038717,-0.1132035812132985,0.3820841475352818
23155.327,-1.44840478446818,-1.4513824239264048,-1.026362789373664,-1.44840478446818,0.007115635057086232,0.007115635057086232,1.9000000000000001,0.04532004933888372,0.3108502184154035,0.0,1.1658253987930873,0.8464974891793916,-0.2542876789789135,0.807400628874248,0.0,1.9000000000000001,0.36942009124897324,-0.16510986191407362,0.33046926833990975
23162.084,-1.45038814210725,-1.4538557097076437,-1.0295153150041472,-1.45038814210725,0.008286411409555784,0.008286411409555784,1.9500000000000002,0.04198732696296604,0.3113307810145229,0.0,1.1965050145508,0.6855403429933049,0.1058582469135893,0.6773179411707324,0.0,1.9500000000000002,0.33985035559766114,-0.19864875049092462,0.27574796124042533
23168.918,-1.45217761157798,-1.4563571800390038,-1.0326978305244836,-1.45217761157798,0.009987872703192456,0.009987872703192456,2.0,0.035792062108129914,0.2863364968650393,0.0,1.227184630308513,0.4299553006015928,0.2195705292872118,0.36966247197131025,0.0,2.0,0.31068363754425987,-0.21544309206771223,0.2238494956841233
