energy,mu,pre_edge,post_edge,bkg,norm,flat,k,chik,k3chik,kwin,r,chir_mag,chir_re,chir_im,rwin,q,chiq_mag,chiq_re,chiq_im
10963.674,-1.27014204708358,-1.273740483388937,-0.5903790577712593,-1.27014204708358,0.005239918009405024,0.005239918009405024,0.0,-2.04965331209546,-0.0,0.0,0.0,0.1486585639500176,-0.1486585639500176,0.0,0.0,0.0,0.10743513592618713,0.0995674218626038,-0.04035637415715877
10963.997,-1.27101571583131,-1.2740120761265255,-0.590646272569364,-1.27101571583131,0.00436319582764106,0.00436319582764106,0.05,-1.9847921548069754,-0.000248099019350872,0.0,0.030679615757712823,0.1544151393799232,-0.11845511322721373,0.09905766714418975,0.0,0.05,0.10958883436165309,0.1073593276325012,-0.021992894012455518
10964.324,-1.27106822359077,-1.274287032241669,-0.5909167965290549,-1.27106822359077,0.004687117399734468,0.004687117399734468,0.1,-1.9201469230817856,-0.001920146923081786,0.0,0.06135923151542565,0.17016947556144615,-0.03667813385453085,0.1661696870966746,0.0,0.1,0.11112972622425529,0.11111086148763548,-0.002047562002337461
10964.647,-1.27139577051748,-1.2745586249792575,-0.5911840113271596,-1.27139577051748,0.0046056388522766134,0.0046056388522766134,0.15000000000000002,-1.8550713504960021,-0.006260865807924011,0.0,0.09203884727313846,0.19256995159867274,0.07259455218259155,0.17836260048598798,0.0,0.15000000000000002,0.11201929103494374,0.11049507251555535,0.018416311078866734
10964.959,-1.27160071691827,-1.2748209684285703,-0.591442125930903,-1.27160071691827,0.00468921844149825,0.00468921844149825,0.2,-1.7889191706257317,-0.014311353365005858,0.0,0.1227184630308513,0.2182656139219055,0.17666140224954163,0.1281820080039783,0.0,0.2,0.1122291275115759,0.10550199144105527,0.038271488917744824
10965.271,-1.27166920294781,-1.2750833118778813,-0.5917002405346444,-1.27166920294781,0.004971506885398689,0.004971506885398689,0.25,-1.7210441170470874,-0.02689131432886074,0.0,0.15339807878856412,0.24463517525046766,0.24324649943258084,0.026029012344353005,0.0,0.25,0.11174229449192792,0.09644834433061228,0.05642745124675043
10965.593,-1.27199191268689,-1.2753540637710818,-0.5919666280423534,-1.27199191268689,0.0048958476742164475,0.0048958476742164475,0.30000000000000004,-1.6507999233361763,-0.044571597930076784,0.0,0.18407769454627693,0.2697334380452255,0.24954685206616292,-0.1023840623513548,0.0,0.30000000000000004,0.11055510691629962,0.08395455222403923,0.07193097264833492
10965.916,-1.27271444494277,-1.2756256565086685,-0.5922338428404563,-1.27271444494277,0.004239205204391245,0.004239205204391245,0.35000000000000003,-1.5775403230691092,-0.06763704135158807,0.0,0.21475731030398976,0.292074008057043,0.18882435542954812,-0.2228286089781141,0.0,0.35000000000000003,0.10867953397328682,0.06889003129734214,0.08405596167138904
10966.228,-1.27275430434513,-1.2758879999579795,-0.5924919574441979,-1.27275430434513,0.0045631787488691735,0.0045631787488691735,0.4,-1.50062081446693,-0.09603973212588354,0.0,0.2454369260617026,0.3104640968672657,0.07271586280279459,-0.3018283597352179,0.0,0.4,0.10614641516165396,0.052291277244097455,0.09237252717042627
10966.551,-1.2726445374556,-1.276159592695568,-0.5927591722423026,-1.2726445374556,0.005118501396993679,0.005118501396993679,0.45,-1.4194831369543492,-0.1293504008549651,0.0,0.2761165418194154,0.3239112435441932,-0.07144622322223117,-0.3159334279268732,0.0,0.45,0.10300979452785315,0.035260377945103935,0.09678700075856754
10966.873,-1.27336334187636,-1.2764303445887686,-0.5930255597500116,-1.27336334187636,0.004466062862838453,0.004466062862838453,0.5,-1.3336721145437989,-0.16670901431797486,0.0,0.30679615757712825,0.33158254483945226,-0.20768583667317816,-0.25848322438326504,0.0,0.5,0.0993527587779203,0.018854093199334582,0.09754739282222988
10967.201,-1.27403607818664,-1.2767061415483019,-0.5932969110001001,-1.27403607818664,0.00388805356209764,0.00388805356209764,0.55,-1.2415906126626464,-0.20656963818174784,0.0,0.3374757733348411,0.33280038128488404,-0.301004279169408,-0.14195956362665138,0.0,0.55,0.09529519685200386,0.003975164779071201,0.09521225030447183
10967.519,-1.27359342439393,-1.2769735300639473,-0.5935599893462228,-1.27359342439393,0.00492199251870849,0.00492199251870849,0.6000000000000001,-1.1402102531650218,-0.24628541468364482,0.0,0.36815538909255385,0.32706830532699765,-0.32703257987019846,0.0048340513977857165,0.0,0.6000000000000001,0.09100372619342559,-0.00872214247389971,0.09058478024344359
10967.836,-1.27397515337144,-1.2772400777352013,-0.5938222404019462,-1.27397515337144,0.004754269499657235,0.004754269499657235,0.65,-1.0298763526036891,-0.28282979333378816,0.0,0.3988350048502667,0.31413187690716793,-0.27909694038997923,0.14416564762165943,0.0,0.65,0.086703303254706,-0.01890121860380555,0.08461800476594013
10968.154,-1.27457940483438,-1.2775074662508468,-0.5940853187480689,-1.27457940483438,0.004263741371758607,0.004263741371758607,0.7000000000000001,-0.9111894221273229,-0.31253797178967185,0.0,0.4295146206079795,0.2940966512240817,-0.17068952417554453,0.2394951494246707,0.0,0.7000000000000001,0.08268808818550082,-0.02657816318178025,0.07830019903969479
10968.471,-1.27405684881045,-1.2777740139221025,-0.5943475698037942,-1.27405684881045,0.0054128067748438645,0.0054128067748438645,0.75,-0.7804233066693792,-0.32924108250114437,0.0,0.46019423636569234,0.26766256820281614,-0.03249702092018698,0.2656825061012488,0.0,0.75,0.07932515944982713,-0.03211717019047229,0.07253253270565378
10968.789,-1.27474957479073,-1.278041402437748,-0.5946106481499169,-1.27474957479073,0.004793445126648087,0.004793445126648087,0.8,-0.6320475054512579,-0.3236083227910441,0.0,0.4908738521234052,0.2366212751113378,0.09543786343999225,0.21652076588014552,0.0,0.8,0.07703907263045753,-0.03618478606687549,0.06801235159186428
10969.106,-1.27540566623548,-1.278307950109002,-0.5948728992056405,-1.27540566623548,0.004226205008723945,0.004226205008723945,0.8500000000000001,-0.46528425254644007,-0.2857426915950826,0.0,0.521553467881118,0.20493997292383856,0.17452448062917497,0.107431830307132,0.0,0.8500000000000001,0.076263047241192,-0.03966606925159266,0.06513566860515164
10969.434,-1.2755253816825,-1.2785837470685335,-0.5951442504557272,-1.2755253816825,0.004453485488060597,0.004453485488060597,0.9,-0.28634518830161054,-0.20874564227187412,0.0,0.5522330836388308,0.1807566266986542,0.17863013392050192,-0.02764477077170597,0.0,0.9,0.07735499063339128,-0.04355009779352379,0.06393108444306703
10969.757,-1.27551552255977,-1.2788553398061238,-0.5954114652538336,-1.27551552255977,0.004863325914991906,0.004863325914991906,0.9500000000000001,-0.10412019930224174,-0.08927005587675954,0.0,0.5829126993965437,0.17718089991952254,0.1023292360494141,-0.14464369583855066,0.0,0.9500000000000001,0.08050771121017973,-0.048796138817146464,0.06403458753548327
10970.07,-1.2759623734917,-1.2791185240998244,-0.5956704071479726,-1.2759623734917,0.004595876933346175,0.004595876933346175,1.0,0.08079589954643532,0.08079589954643532,0.0,0.6135923151542565,0.20428939969985152,-0.03597657853169407,-0.20109660520973133,0.0,1.0,0.08570480963550435,-0.05619465627263129,0.06471070236876479
