energy,mu,pre_edge,post_edge,bkg,norm,flat,k,chik,k3chik,kwin,r,chir_mag,chir_re,chir_im,rwin,q,chiq_mag,chiq_re,chiq_im
10964.704,1.14366817293961,1.1386263290222125,1.8506944837566994,1.14366817293961,0.007151715632307318,0.007151715632307318,0.0,-2.085194826421991,-0.0,0.0,0.0,0.30967091300278565,-0.30967091300278565,0.0,0.0,0.0,0.1210747474532246,0.12100098907438678,0.004225531195275723
10968.315,1.13933371440614,1.1354505390615461,1.8474156494650011,1.13933371440614,0.005508176427099008,0.005508176427099008,0.05,-2.015999857502923,-0.0002519999821878655,0.0,0.030679615757712823,0.3182463425930297,-0.2535052726006643,0.19239493584162476,0.0,0.05,0.1217722922284458,0.11919789835689854,0.024906870174080165
10972.215,1.13391807405105,1.132020580366838,1.8438743994684306,1.13391807405105,0.002691542115525822,0.002691542115525822,0.1,-1.947375523362581,-0.0019473755233625815,0.0,0.06135923151542565,0.3420664948734757,-0.10063800226843544,0.32692733047948735,0.0,0.1,0.12196294861334397,0.11345291882585122,0.04475931237581737
10979.962,1.1269346126231,1.125207275236603,1.8368400241547271,1.1269346126231,0.0024501801308549442,0.0024501801308549442,0.15000000000000002,-1.8787801992685442,-0.00634088317253134,0.0,0.09203884727313846,0.37660700394265395,0.10617544385993805,0.361330334375357,0.0,0.15000000000000002,0.12165418607441802,0.1041114554525582,0.06293286766848553
10987.637,1.12014853577677,1.1184572924207306,1.829871025764036,1.12014853577677,0.0023989817506421744,0.0023989817506421744,0.2,-1.809672260488393,-0.014477378083907148,0.0,0.1227184630308513,0.4168392475152812,0.30838567772382874,0.2804518355153353,0.0,0.2,0.12086395571927017,0.09172152270634241,0.07870996166013304
10994.711,1.11344634519808,1.1122358750344823,1.8234477430779483,1.11344634519808,0.0017170183237072752,0.0017170183237072752,0.25,-1.7395100822897054,-0.027179845035776647,0.0,0.15339807878856412,0.45843367337958824,0.4472449381735881,0.10066478116206423,0.0,0.25,0.11962193563795856,0.0769859204048607,0.09155640635798433
11002.298,1.10686546133201,1.1055632861583877,1.8165586498153847,1.10686546133201,0.001847099334642475,0.001847099334642475,0.30000000000000004,-1.6677520399400616,-0.04502930507838169,0.0,0.18407769454627693,0.4979891216445494,0.4796115205247384,-0.13403713909308226,0.0,0.30000000000000004,0.11797109894139043,0.06070149791410885,0.10115586160190011
11009.76,1.10029629786668,1.0990006318558443,1.8097830581552783,1.10029629786668,0.0018378662679279009,0.0018378662679279009,0.35000000000000003,-1.593837072958334,-0.06833576450308859,0.0,0.21475731030398976,0.5328798691421313,0.3898223097766033,-0.363317384303819,0.0,0.35000000000000003,0.1159696232814288,0.043690992688463604,0.10742462791154146
11017.542,1.09315124754636,1.0921565450450164,1.8027169023928882,1.09315124754636,0.001410957884635754,0.001410957884635754,0.4,-1.5167303053331045,-0.09707073954131872,0.0,0.2454369260617026,0.5610639225678286,0.1944699434831922,-0.5262833517116444,0.0,0.4,0.11369311490627965,0.02673364126468417,0.1105053700135142
11024.61,1.08632999689033,1.085940404518297,1.796299067783717,1.08632999689033,0.0005526259644177808,0.0005526259644177808,0.45,-1.4349079438237171,-0.13075598638093625,0.0,0.2761165418194154,0.5809498309157222,-0.061277415906004454,-0.5777090827924456,0.0,0.45,0.1112370242423159,0.010500929964836241,0.11074026382558053
