,value,stderr
amp_Ir,0.831,0.0
enot_Ir,8.539691195193752,0.29341704153275733
r_Ir_008K,1.3246088863349257,0.0025735592549892827
ss_Ir_008K,0.0006097083540786437,0.00034630139094607985
r_Ir_050K,1.3268224082078404,0.0025690286191692316
ss_Ir_050K,0.0007462581537611027,0.0003638255209846056
r_Ir_100K,1.3273347923445102,0.0025620262598083986
ss_Ir_100K,0.0008684308436278449,0.0003490084866648221
r_Ir_150K,1.3274944629050043,0.0026859343538148304
ss_Ir_150K,0.0011519397081190522,0.0003551103994276687
r_Ir_200K,1.3279544295663952,0.0026677489522216424
ss_Ir_200K,0.001197266547373825,0.000349073962839498
r_Ir_300K,1.328705564585518,0.0029768366388554296
ss_Ir_300K,0.0017637028792896559,0.0003868039674032535
r_Ir_100C,1.3295477518942465,0.0031223873820912045
ss_Ir_100C,0.00205704693920978,0.0003877241930769917
n_IrRu,0.2001219678122652,0.019888255866669865
n_IrRh,0.3324358576270152,0.024220654838190477
n_IrPd,0.1297293191113722,0.020546555321437815
n_IrIr,0.4586729337886688,0.041069091822412536
n_IrPt,0.21583629805124316,0.013900766110020375
n_IrGa,0.4721493558729821,0.042344462180264
x_Pt,0.156,0.0
amp_Pt,0.861,0.0
enot_Pt,9.827140806821378,0.7929309183896736
r_Pt_008K,1.387114071736776,0.0028801940512677877
ss_Pt_008K,-0.0004119263599350322,0.00023635520571660062
r_Pt_050K,1.3868842755077222,0.0028238321113838796
ss_Pt_050K,-0.0003810399488709126,0.000224176541288911
r_Pt_100K,1.385686736818504,0.003118643923033745
ss_Pt_100K,-0.00012452117905522268,0.00023236172463499694
r_Pt_150K,1.38317848031432,0.003095279653816275
ss_Pt_150K,0.00012884297541034228,0.00023052409977257105
r_Pt_200K,1.3843216243522072,0.0032622771679320615
ss_Pt_200K,0.00033559478429861513,0.0002390206120818757
r_Pt_300K,1.3843686777078132,0.004026867825772994
ss_Pt_300K,0.0012469457653391176,0.00030072419733435956
r_Pt_100C,1.3865928041090378,0.005041662624744116
ss_Pt_100C,0.002072732411984609,0.0003780593639446377
n_PtRu,0.1743559099167633,0.02843663503179662
n_PtRh,0.1600584232779214,0.014764328800674905
n_PtPd,0.294450845346407,0.022178001522377522
n_PtIr,0.21583629805124316,0.01390076608873011
n_PtPt,0.17174129175671515,0.022711773535110592
n_PtGa,0.3999929691362516,0.04945718525839342
x_Ga,0.1218,0.0
amp_Ga,0.887,0.0
enot_Ga,-0.408769085757859,0.4434381415502588
r_Ga_008K,1.2992491988742254,0.004849163101796335
