,value,stderr
r_Ir_050K,1.3454787637014796,0.004750972317337849
ss_Ir_050K,0.0029903539345541613,0.00033601503716059416
r_Ir_100K,1.3443927187864066,0.0052061335552266
ss_Ir_100K,0.0033149602576943073,0.0003413660030761466
r_Ir_150K,1.3466833950972241,0.005162372639556064
ss_Ir_150K,0.003402023457914523,0.00041934959346576266
r_Ir_200K,1.3458563747936496,0.004614081329415765
ss_Ir_200K,0.0034376257642282503,0.00037556117123828137
r_Ir_300K,1.3469493593313029,0.004930556980127683
ss_Ir_300K,0.00409409775058053,0.000443559984203764
r_Ir_100C,1.3456302350840774,0.0048945987476478455
ss_Ir_100C,0.004313543159114818,0.0004967173179060843
n_IrRu,0.6116904088025212,0.07087357780123209
n_IrRh,0.0,0.0
n_IrPd,0.0738993629512057,0.05765736304339356
n_IrIr,1.4785718563307646,0.22302040394679973
n_IrPt,4.230040185460027e-06,0.2132175895257182
x_Pt,0.178,0.0
amp_Pt,0.861,0.0
enot_Pt,9.080657133169197,0.9081035875191771
r_Pt_008K,1.3710488673959553,0.0028616304451919107
ss_Pt_008K,0.0007534456032038527,0.00032564129378857555
r_Pt_050K,1.371450227397369,0.003318455732773285
ss_Pt_050K,0.0009750951406699583,0.0003394732070088367
r_Pt_100K,1.3736097829541862,0.0030276190579995627
ss_Pt_100K,0.0010015527234949844,0.0003499312482891984
r_Pt_150K,1.3700243227721929,0.003159146091827632
ss_Pt_150K,0.0008688643955169329,0.0003491498879846265
r_Pt_200K,1.3659728965145406,0.003009922470931525
ss_Pt_200K,0.00122791061069363,0.0003323928320741929
r_Pt_300K,1.3685639474730962,0.004504111583532997
ss_Pt_300K,0.0020538673474450333,0.0004326791892715201
r_Pt_100C,1.3643607280422083,0.005159375924754642
ss_Pt_100C,0.0024318500091710334,0.0004788139285672349
n_PtRu,0.06393820493564673,0.04061281825410541
n_PtRh,0.480584172690941,0.056566173715752885
n_PtPd,0.31097641302648316,0.04734430709580364
n_PtIr,4.230040185460027e-06,0.2132175897607563
n_PtPt,0.4271538163877555,0.15479171602907565
