mea_k,mea_chik,mea_k3chik,mea_r,mea_chir_mag,mea_chir_re,mea_chir_im,mea_q,mea_chiq_mag,mea_chiq_re,mea_chiq_im,fit_k,fit_chik,fit_k3chik,fit_r,fit_chir_mag,fit_chir_re,fit_chir_im,fit_q,fit_chiq_mag,fit_chiq_re,fit_chiq_im,win_k,win_r
0.0,-1.0166202100030504,-0.0,0.0,0.38591521632356773,-0.38591521632356773,0.0,0.0,0.26185831234178913,0.16224623045977116,0.20553816298703464,0.0,-0.017593039512754233,-0.0,0.0,0.22537218921778865,-0.22537218921778865,0.0,0.0,0.3366554657468702,0.1466251279339192,0.3030478088942468,0.0,0.0
0.05,-0.984872663233544,-0.00012310908290419305,0.030679615757712823,0.36623121921653345,-0.2801923619234783,0.23583372585058976,0.05,0.2719015356028307,0.11453527518181458,0.2466011269280889,0.05,-0.017056426946980237,-2.1320533683725303e-06,0.030679615757712823,0.21549403388618904,-0.1710570759067381,0.13106164741364437,0.05,0.35162487633046086,0.07234165072728654,0.3441028032789956,0.0,0.0
0.1,-0.9534293666503015,-0.0009534293666503018,0.06135923151542565,0.30974395809295063,-0.04595929380177037,0.3063152997947215,0.1,0.28152308364850837,0.05587058344564014,0.2759234033792871,0.1,-0.01651981438120624,-1.6519814381206245e-05,0.06135923151542565,0.1867515042294929,-0.046556873961377976,0.18085514042714593,0.1,0.3659116782292666,-0.013728004028658964,0.3656540689913726,0.0,0.0
0.15000000000000002,-0.9213664858406723,-0.0031096118897122704,0.09203884727313846,0.22488980039727544,0.13540296105870467,0.17955907233905308,0.15000000000000002,0.29066766978816094,-0.010638721101867999,0.2904729107393597,0.15000000000000002,-0.01563207351306062,-5.2758248106579625e-05,0.09203884727313846,0.14191267634890328,0.061435712040759365,0.12792521641394033,0.15000000000000002,0.3794480657585574,-0.10609576056185481,0.3643137716292263,0.0,0.0
0.2,-0.8877601863920057,-0.007102081491136047,0.1227184630308513,0.13287033792012148,0.13165494746275888,-0.01793046311687103,0.2,0.29928292815031465,-0.08102758590723876,0.28810553865601307,0.2,-0.014404468442909865,-0.00011523574754327895,0.1227184630308513,0.08653233755298592,0.08259449507234733,0.025806875559197213,0.2,0.39216905557627274,-0.1983158321309672,0.33833031031491656,0.0,0.0
0.25,-0.85168663389165,-0.013307603654557031,0.15339807878856412,0.1104298940187861,-0.03248369141186886,-0.10554416746205736,0.25,0.30731921405866547,-0.1507452425927953,0.26780771304291284,0.25,-0.012855370848265844,-0.00020086516950415382,0.15339807878856412,0.040922397235071094,0.015353820097596855,-0.03793287233885123,0.25,0.4040123196684278,-0.28349252735170893,0.28785055389838055,0.0,0.0
0.30000000000000004,-0.8122219939269545,-0.021929993836027784,0.18407769454627693,0.19550801506558863,-0.19549520894242722,0.002237685286888971,0.30000000000000004,0.31472948148923446,-0.21499351511292616,0.22985307258740387,0.30000000000000004,-0.011012651619374326,-0.00029734159372310693,0.18407769454627693,0.07276968821645086,-0.07227950858529857,-0.008432091187079105,0.30000000000000004,0.41491810148392183,-0.3548563955197469,0.21502085828531853,0.0,0.0
0.35000000000000003,-0.7684424320852681,-0.03294696927565588,0.21475731030398976,0.29440974269238845,-0.19190124895512659,0.2232733912531023,0.35000000000000003,0.32146922371894704,-0.2691052562745535,0.17585455025068106,0.35000000000000003,-0.008916432590145306,-0.0003822920473024801,0.21475731030398976,0.13329765423023454,-0.09461690683689718,0.09389305386396316,0.35000000000000003,0.4248291936056932,-0.40635705724156185,0.1239103941146247,0.0,0.0
0.4,-0.7194241139539392,-0.04604314329305212,0.2454369260617026,0.3722969643565499,0.009540420541745956,0.3721747036607792,0.4,0.32749646682316663,-0.3089299854833444,0.10870234519511586,0.4,-0.00662192092371822,-0.00042380293911796615,0.2454369260617026,0.18795252647619207,-0.014469443636983156,0.18739473687812006,0.4,0.43369096165810983,-0.4332176240676927,0.02025686108654024,0.0,0.0
0.45,-0.6645449587080625,-0.060556659362272204,0.2761165418194154,0.4154993700131742,0.27541246833222344,0.3111072142662344,0.45,0.3327718086262527,-0.3311918601960704,0.032388707233446966,0.45,-0.004201958109585244,-0.0003829034327359554,0.2761165418194154,0.22829363629119084,0.12616726667919312,0.1902624639537602,0.45,0.44145140359299734,-0.4323974367880264,-0.08894829055902169,0.0,0.0
0.5,-0.6049428082323274,-0.07561785102904092,0.30679615757712825,0.41703770291689185,0.4119382561726062,0.06501783413548927,0.5,0.3372584982123668,-0.33378647793559385,-0.048268848793112336,0.5,-0.001748821787178393,-0.00021860272339729913,0.30679615757712825,0.24929764308543964,0.23493655465307167,0.08339142723145777,0.5,0.44806123669988923,-0.40291691031375787,-0.19600213064211658,0.0,0.0
0.55,-0.5416567078048502,-0.09011813476103198,0.3374757733348411,0.37533213069652555,0.3213808315603316,-0.1938777177469952,0.55,0.34092255331615806,-0.31598764070424923,-0.12798436733355728,0.55,0.000625265833710871,0.0001040286030836462,0.3374757733348411,0.24792824383696058,0.23707522286776436,-0.07255172495729678,0.55,0.4534740070731006,-0.3460100101204397,-0.29311388228364027,0.0,0.0
0.6000000000000001,-0.47135132782473,-0.10181188681014174,0.36815538909255385,0.29473628350709724,0.08358931203240282,-0.2826345763163552,0.6000000000000001,0.34373291498060765,-0.27854276092584684,-0.20141064315689022,0.6000000000000001,0.0027895259896468924,0.0006025376137637291,0.36815538909255385,0.22323802592420888,0.13201422356793743,-0.18002072379115797,0.6000000000000001,0.4576462181315853,-0.2650852728907796,-0.3730547668460537,0.0,0.0
