mea_k,mea_chik,mea_k3chik,mea_r,mea_chir_mag,mea_chir_re,mea_chir_im,mea_q,mea_chiq_mag,mea_chiq_re,mea_chiq_im,fit_k,fit_chik,fit_k3chik,fit_r,fit_chir_mag,fit_chir_re,fit_chir_im,fit_q,fit_chiq_mag,fit_chiq_re,fit_chiq_im,win_k,win_r
0.0,0.17090515834600897,0.0,0.0,0.5330160228146522,0.5330160228146522,0.0,0.0,0.15224480329659784,0.03023679593088583,0.14921198444714062,0.0,-0.1580761753897952,-0.0,0.0,0.5301132164734105,0.5301132164734105,0.0,0.0,0.13371143304959546,0.03211558805179582,0.12979728938719712,0.0,0.0
0.05,0.13886163187406436,1.735770398425805e-05,0.030679615757712823,0.503369378108097,0.4139454730112114,-0.2864085826061376,0.05,0.1610030434888286,0.017992356233083946,0.1599945471878571,0.05,-0.15776883707083916,-1.97211046338549e-05,0.030679615757712823,0.5019697246788523,0.4119968173161522,-0.28676162054138943,0.05,0.14405401406327822,0.024737885622597034,0.1419140443460987,0.0,0.0
0.1,0.10428665306991762,0.00010428665306991764,0.06135923151542565,0.41765682653087616,0.14567003391482927,-0.3914300269104235,0.1,0.17282586568351396,0.0014206747199706322,0.17282002642227562,0.1,-0.1574614987518831,-0.00015746149875188313,0.06135923151542565,0.42044578030405755,0.14470145154302155,-0.3947608695106829,0.1,0.1578268201341513,0.012438370402006058,0.1573359211858508,0.0,0.0
0.15000000000000002,0.06880026907370461,0.00023220090812375318,0.09203884727313846,0.2852694357026235,-0.07531304165839961,-0.27514831764387254,0.15000000000000002,0.18717712559228225,-0.021050869644028174,0.18598961592577995,0.15000000000000002,-0.15691348486060475,-0.0005295830114045413,0.09203884727313846,0.2940067508621953,-0.07885380339210171,-0.2832349682562955,0.15000000000000002,0.17426181440684094,-0.0066884904305725265,0.17413340878798764,0.0,0.0
0.2,0.03402252702556126,0.00027218021620449014,0.1227184630308513,0.12134367216643499,-0.10018327860914746,-0.06846603144594543,0.2,0.20351672032489074,-0.0503588306171561,0.19718783844515456,0.2,-0.15606241981268185,-0.001248499358501455,0.1227184630308513,0.13618609585719144,-0.11098936476786114,-0.07891776487743934,0.2,0.1926655748542907,-0.03382838291220471,0.18967251841919416,0.0,0.0
0.25,0.0015734740656233419,2.4585532275364717e-05,0.15339807878856412,0.06425663667745525,0.055108659737847024,0.03304468155387013,0.25,0.22135515831385963,-0.08660289075987906,0.2037106905004897,0.25,-0.15475166814748398,-0.002417994814804437,0.15339807878856412,0.04427200989903283,0.03562123578424781,0.026289511629223626,0.25,0.21246534049200852,-0.0692235577171997,0.20087214831170258,0.0,0.0
0.30000000000000004,-0.02692684266597319,-0.0007270247519812765,0.18407769454627693,0.23565880528769015,0.22398090861698083,-0.07326407772389651,0.30000000000000004,0.24027132318077624,-0.1289241011829745,0.2027532610766179,0.30000000000000004,-0.15398121275086923,-0.0041574927442734715,0.18407769454627693,0.21189789555652086,0.19968353739666775,-0.07090277169501782,0.30000000000000004,0.2332031281746713,-0.11203818574646886,0.2045266337793,0.0,0.0
0.35000000000000003,-0.04985837602909241,-0.002137677872247338,0.21475731030398976,0.385021960682389,0.22383721017262403,-0.31327115020353796,0.35000000000000003,0.2599100195401515,-0.17547863954011103,0.19173018886579576,0.35000000000000003,-0.15450380602675973,-0.006624350683397325,0.21475731030398976,0.3622182149242606,0.20116406563861639,-0.30122259861879597,0.35000000000000003,0.25451276872678513,-0.1603304797551652,0.19766356949739772,0.0,0.0
0.4,-0.06616676628037828,-0.004234673041944211,0.2454369260617026,0.4932496221278119,0.004630781032516629,-0.49322788404170553,0.4,0.2799717091537892,-0.2235147881819449,0.16859803495436787,0.4,-0.15493501896173753,-0.009915841213551204,0.2454369260617026,0.47584484792458287,-0.012635100967001885,-0.4756770685243541,0.4,0.2760963372445961,-0.21113956718374646,0.1779024187844054,0.0,0.0
0.45,-0.07731863232166725,-0.007045660370311929,0.2761165418194154,0.5476038045773758,-0.3069498179624306,-0.45348840783469596,0.45,0.30020099356600716,-0.2695510261646191,0.13214719380909573,0.45,-0.15510753701501795,-0.014134174310493512,0.2761165418194154,0.5400144492712999,-0.32040110649422343,-0.4346938421223179,0.45,0.2977051611992489,-0.26068418108653535,0.14377802591464808,0.0,0.0
0.5,-0.08548259624822908,-0.010685324531028636,0.30679615757712825,0.541180881014838,-0.5039522052197474,-0.19725344313889626,0.5,0.3203764927982138,-0.30964318476540587,0.08223256815897613,0.5,-0.15487796817715976,-0.01935974602214497,0.30679615757712825,0.5470569059697842,-0.5177778712452232,-0.17657104637510163,0.5,0.319125886870412,-0.30465924232030717,0.09499514587410947,0.0,0.0
0.55,-0.09282730960429536,-0.015444143635414645,0.3374757733348411,0.4736359876624937,-0.46103389528480815,0.10853016266247105,0.55,0.3403028081170337,-0.3397194738418457,0.019916834712326453,0.55,-0.1541210638909628,-0.025641892004858946,0.3374757733348411,0.49516551502367656,-0.4758912144284905,0.13680803813533501,0.55,0.3401706744131657,-0.33860637718972086,0.0325854117230462,0.0,0.0
