,value,stderr
x_Ru,0.1795,0.0
amp_Ru,0.892,0.0
enot_Ru,-3.597729760954407,0.8977078465084277
r_Ru_008K,1.33632840848078,0.002237705663459943
ss_Ru_008K,0.001734679789507726,0.0003473331411541945
r_Ru_050K,1.337431521661092,0.0017364331955207442
ss_Ru_050K,0.0019446354539810289,0.00032037350214980214
r_Ru_100K,1.3347548020750304,0.002030322780512089
ss_Ru_100K,0.0018971313113459744,0.00032734127543046726
r_Ru_150K,1.334639711579548,0.002275837279280189
ss_Ru_150K,0.0022481020269309007,0.0003456527454088634
r_Ru_200K,1.3330513189543534,0.002824893224195671
ss_Ru_200K,0.002478991756896166,0.000384291335875711
r_Ru_300K,1.3297185947079218,0.004244944379096878
ss_Ru_300K,0.003201771759325614,0.0005038578544547383
r_Ru_100C,1.3321360913629872,0.005144733068159434
ss_Ru_100C,0.004221059123297271,0.0006147008641160353
n_RuRu,0.3708419968956167,0.047732426244833086
n_RuRh,0.0,0.0
n_RuPd,0.0,0.0
n_RuIr,0.4051552438999291,0.05128786574992056
n_RuPt,0.06765398133152445,0.0447675138848795
n_RuSn,0.22316988001872318,0.030087863152332896
x_Rh,0.1785,0.0
amp_Rh,0.922,0.0
enot_Rh,0.09030204300625194,0.390174696314271
r_Rh_008K,1.3601998335862804,0.0026990511928122957
ss_Rh_008K,0.0018167954512411427,0.00024143216932562083
r_Rh_050K,1.3592426220632297,0.002624542040411662
ss_Rh_050K,0.0018601131904578299,0.00023354574903904416
r_Rh_100K,1.360305083487444,0.002511434363011263
ss_Rh_100K,0.0020036212662019924,0.00023459353116130042
r_Rh_150K,1.35966315491942,0.002739625965097582
ss_Rh_150K,0.002296105705719195,0.0002596684727697039
r_Rh_200K,1.3589825379130938,0.002863036188534947
ss_Rh_200K,0.0027006297328057557,0.000273000214661802
r_Rh_300K,1.3604038528805915,0.0035258262454218514
ss_Rh_300K,0.003652328343018115,0.0003683993366430625
r_Rh_100C,1.3588257688919394,0.004174094712132474
ss_Rh_100C,0.004624524522757885,0.0004599004441389106
n_RhRu,0.0,0.0
n_RhRh,0.4768075656688697,0.07565193398538278
n_RhPd,0.3301748485037579,0.06495479343580587
n_RhIr,0.1626333899244623,0.03925287634394634
n_RhPt,0.2888754955480204,0.03057940887816466
n_RhSn,0.3496386861441094,0.03840030420570202
x_Pd,0.1637,0.0
amp_Pd,0.892,0.0
enot_Pd,-0.2100036769919693,0.2964746669610983
r_Pd_008K,1.3881988476487201,0.0018683043890566169
ss_Pd_008K,0.0017470366479219218,0.00014274923101879566
r_Pd_050K,1.38690196835166,0.001824506295682817
ss_Pd_050K,0.0017352889530228572,0.00014758760973188645
r_Pd_100K,1.3859399682182734,0.0018088742977854688
ss_Pd_100K,0.0020532111221869664,0.0001423771213500052
r_Pd_150K,1.386817060199395,0.0018901094532549766
ss_Pd_150K,0.0023609152988609237,0.0001448370057834388
r_Pd_200K,1.386484447748413,0.0019354205647935034
ss_Pd_200K,0.002732952141043378,0.00014816051343568664
r_Pd_300K,1.383660240059882,0.002001589925541124
ss_Pd_300K,0.0034979678433770074,0.00017824394169946108
r_Pd_100C,1.3816325330615744,0.002436946939102564
ss_Pd_100C,0.004848910331745436,0.00022972791910921993
n_PdRu,0.0,0.0
n_PdRh,0.3301748485037579,0.06495479342273357
n_PdPd,0.7606952762980916,0.08358652184215082
n_PdIr,2.53438804684869e-05,0.037657115111485576
n_PdPt,0.3430829139340825,0.03542163055064161
n_PdSn,0.037783432106499815,0.02694647776637636
x_Ir,0.1612,0.0
amp_Ir,0.831,0.0
enot_Ir,5.181292206421094,0.46988455733940515
r_Ir_008K,1.3398139941531078,0.004708180748159268
ss_Ir_008K,0.003636972615310386,0.00032631195221428623
r_Ir_050K,1.3407382708937476,0.0045850071828161644
ss_Ir_050K,0.003871316484014274,0.0003188434823128366
r_Ir_100K,1.3388715834647018,0.004709688195361649
ss_Ir_100K,0.0041293810055330945,0.0003325157373611798
r_Ir_150K,1.3403678495684888,0.004637497556922447
ss_Ir_150K,0.004016303574637328,0.00033225509980563944
r_Ir_200K,1.3397079288072855,0.004753380294605925
ss_Ir_200K,0.004194629402136994,0.0003517477727840391
r_Ir_300K,1.3374421286854306,0.004987438817062128
ss_Ir_300K,0.004567013915792413,0.00040213117214757014
r_Ir_100C,1.3367426380276697,0.00500270244833249
