mea_k,mea_chik,mea_k3chik,mea_r,mea_chir_mag,mea_chir_re,mea_chir_im,mea_q,mea_chiq_mag,mea_chiq_re,mea_chiq_im,fit_k,fit_chik,fit_k3chik,fit_r,fit_chir_mag,fit_chir_re,fit_chir_im,fit_q,fit_chiq_mag,fit_chiq_re,fit_chiq_im,win_k,win_r
0.0,0.13545240717802365,0.0,0.0,0.2335124736002953,0.2335124736002953,0.0,0.0,0.04763382058577536,0.024585285061457487,0.04079883113576554,0.0,-0.12004497314942959,-0.0,0.0,0.24564741991281858,0.24564741991281858,0.0,0.0,0.03201879900360928,0.020242765022979736,0.024807941346632507,0.0,0.0
0.05,0.11045220091230958,1.3806525114038701e-05,0.030679615757712823,0.23037742864296526,0.22008163950687176,-0.06810162685363613,0.05,0.0618183913382772,0.02482683604468608,0.05661397106424051,0.05,-0.12005165237440353,-1.5006456546800444e-05,0.030679615757712823,0.24100522589825352,0.2288165410518979,-0.0756737038297541,0.05,0.04736796790124145,0.028522556836246424,0.03781782826414194,0.0,0.0
0.1,0.08667913197509626,8.667913197509629e-05,0.06135923151542565,0.2213954334279892,0.1840436367683146,-0.12306046362605613,0.1,0.07658525826489042,0.01836434853287087,0.07435087414727018,0.1,-0.12005833159937744,-0.00012005833159937747,0.06135923151542565,0.2285846904250965,0.1863181839448026,-0.1324254319541677,0.1,0.06389076440048165,0.03100305646061994,0.055864481253990586,0.0,0.0
0.15000000000000002,0.06424412421355973,0.00021682391922076417,0.09203884727313846,0.20805274157658052,0.13653931335093203,-0.15698076056379454,0.15000000000000002,0.09164501296563322,0.004421282567935838,0.09153830161154153,0.15000000000000002,-0.12005243752167181,-0.00040517697663564257,0.09203884727313846,0.21283744440632482,0.13627060125652501,-0.16349342792479635,0.15000000000000002,0.0809232437249029,0.025820073036160105,0.07669351474125694,0.0,0.0
0.2,0.043258101474875826,0.0003460648117990067,0.1227184630308513,0.19344647034722992,0.09085677574855694,-0.17078226837227026,0.2,0.1068294279949796,-0.016929003468012568,0.10547955028020621,0.2,-0.12000568903759762,-0.0009600455123007812,0.1227184630308513,0.20051186357141226,0.09380600645417839,-0.17721580230329145,0.2,0.09819283323161138,0.011924841339911785,0.09746604874041512,0.0,0.0
0.25,0.023831987606220583,0.0003723748063471966,0.15339807878856412,0.1826512287503521,0.05571969889811971,-0.17394478008470485,0.25,0.12201955969683789,-0.04471096278174718,0.11353282677595676,0.25,-0.11987591232824245,-0.0018730611301287883,0.15339807878856412,0.1981242518775085,0.06074579975645664,-0.1885819901103255,0.25,0.11554181832388472,-0.010749383262413755,0.1150406994983398,0.0,0.0
0.30000000000000004,0.006076706454769897,0.0001640710742787873,0.18407769454627693,0.18152002711974397,0.02979728333001376,-0.1790576503579321,0.30000000000000004,0.1371189222625263,-0.07708446012492638,0.11340010956646104,0.30000000000000004,-0.11960749201726575,-0.003229402284466177,0.18407769454627693,0.20759544769373742,0.02597258333623158,-0.20596430471808888,0.30000000000000004,0.1328542659913661,-0.0412152347560127,0.12629948699860746,0.0,0.0
0.35000000000000003,-0.009896818132300225,-0.0004243260774223722,0.21475731030398976,0.19290232377280025,0.001730344441473982,-0.1928945629743361,0.35000000000000003,0.1520421994486513,-0.11147212720568875,0.10339630201038238,0.35000000000000003,-0.11913318320433298,-0.005107835229885778,0.21475731030398976,0.22460691571759636,-0.023792050545982796,-0.2233432446235812,0.35000000000000003,0.15003183885890942,-0.07746425506677303,0.12848673806403402,0.0,0.0
0.4,-0.023998686290334584,-0.0015359159225814137,0.2454369260617026,0.213709103937,-0.04230504096660458,-0.20947998619049357,0.4,0.1667100447273188,-0.14476765490363802,0.08267142859952159,0.4,-0.11838423819987363,-0.007576591244791915,0.2454369260617026,0.2420079589590384,-0.09114473125375701,-0.22418851479101248,0.4,0.16698440467670836,-0.11660570549878396,0.11952782458643496,0.0,0.0
0.45,-0.0363136959322532,-0.003309085541826573,0.2761165418194154,0.2368378813838668,-0.10692372894503197,-0.21132794005262978,0.45,0.18104653416143046,-0.17360809695309884,0.051362205990294486,0.45,-0.11729049588485059,-0.010688096437507011,0.2761165418194154,0.25364936849944864,-0.16315540174687385,-0.19421204139029402,0.45,0.18362597953259702,-0.15510158580650246,0.09829546500024247,0.0,0.0
0.5,-0.04700654248713832,-0.00587581781089229,0.30679615757712825,0.2548181229680921,-0.17993842346524486,-0.18042848875336712,0.5,0.19497787977543624,-0.19468651446235305,0.010655265751001381,0.5,-0.11577377302276735,-0.01447172162784592,0.30679615757712825,0.2560024034264545,-0.21857433912396917,-0.1332759874720171,0.5,0.19987286560957135,-0.1890786271588539,0.06479533284662475,0.0,0.0
0.55,-0.055992668359300196,-0.009315780198278573,0.3374757733348411,0.2618268199110641,-0.23627366399585753,-0.11281861250127757,0.55,0.20843178627510042,-0.20507658366778395,-0.03724787726810155,0.55,-0.11375042726106985,-0.018925227335560502,0.3374757733348411,0.24856977510886732,-0.24190455227085036,-0.057176224851876206,0.55,0.2156427896056524,-0.2146899344567707,0.020249561769459724,0.0,0.0
0.6000000000000001,-0.06290167581710678,-0.01358676197649507,0.36815538909255385,0.25458384522729166,-0.25327940378980884,-0.025738645391561902,0.6000000000000001,0.2213371562985202,-0.20253862435349096,-0.08926501220137169,0.6000000000000001,-0.11113605665229008,-0.02400538823689467,0.36815538909255385,0.2340570185388229,-0.23372950223432987,0.012377710312302337,0.6000000000000001,0.23085453649935436,-0.22849323404210498,-0.03293416188870721,0.0,0.0
0.65,-0.06804074259664182,-0.01868568893560276,0.3988350048502667,0.23322548100077625,-0.22773251431872082,0.05031924989620828,0.65,0.23362399415622814,-0.18577716208406747,-0.14165809787477537,0.65,-0.10785286953140207,-0.029619094295061293,0.3988350048502667,0.21837480997733166,-0.2093262142242268,0.06221007692640184,0.65,0.2454278455142738,-0.22780994528619422,-0.09130967189996597,0.0,0.0
0.7000000000000001,-0.07210828835701726,-0.024733142906456923,0.4295146206079795,0.20290170755612194,-0.18104315584962383,0.09161047237733717,0.7000000000000001,0.24522342741042816,-0.1546236354607365,-0.19033144960258877,0.7000000000000001,-0.10382825911222858,-0.03561309287549441,0.4295146206079795,0.2095203976747111,-0.18643487288937943,0.09560771523517343,0.7000000000000001,0.2592834527229044,-0.21102988345021695,-0.1506462649616592,0.0,0.0
0.75,-0.07439811903464363,-0.031386706467740284,0.46019423636569234,0.17660351143146163,-0.14596232892886854,0.09941729619931929,0.75,0.2560678007984466,-0.1101239557605872,-0.23117835749350146,0.75,-0.09899726528647612,-0.041764471292732114,0.46019423636569234,0.21368675728740663,-0.1714275642241104,0.1275720206949609,0.75,0.27234321938615724,-0.17783035587431467,-0.2062697109980793,0.0,0.0
0.8,-0.07372164189452664,-0.03774548064999765,0.4908738521234052,0.17447520583632814,-0.14200564548474198,0.1013705780889645,0.8,0.26609081568697335,-0.054518826036300636,-0.2604458097197619,0.8,-0.09330746918281346,-0.047773424221600504,0.4908738521234052,0.2304152097658689,-0.15455691972156205,0.17088981086545796,0.8,0.2845303121346501,-0.12928545635540648,-0.2534615736130739,0.0,0.0
0.8500000000000001,-0.07028356859208387,-0.04316289656161352,0.521553467881118,0.20526530903808823,-0.1575695488587112,0.13155107132579383,0.8500000000000001,0.2752276985935704,0.008885675368605947,-0.2750842250045556,0.8500000000000001,-0.086726698897564,-0.053261033960466504,0.521553467881118,0.25301256852142806,-0.11818721527821609,0.22371218557465958,0.8500000000000001,0.2957694151587899,-0.06785091676637667,-0.2878815729381352,0.0,0.0
