mea_k,mea_chik,mea_k3chik,mea_r,mea_chir_mag,mea_chir_re,mea_chir_im,mea_q,mea_chiq_mag,mea_chiq_re,mea_chiq_im,fit_k,fit_chik,fit_k3chik,fit_r,fit_chir_mag,fit_chir_re,fit_chir_im,fit_q,fit_chiq_mag,fit_chiq_re,fit_chiq_im,win_k,win_r
0.0,-0.6918257025932047,-0.0,0.0,0.18577234905401083,0.18577234905401083,0.0,0.0,0.23390392755767808,0.21315625587065132,-0.09630917874280173,0.0,-0.040636278777890125,-0.0,0.0,0.0011900826071401147,0.0011900826071401147,0.0,0.0,0.12558251239036577,0.08388624569562342,-0.09345622077406016,0.0,0.0
0.05,-0.7009443505667853,-8.761804382084818e-05,0.030679615757712823,0.218958830466788,0.2183483663608462,0.0163389212291781,0.05,0.255041360841915,0.25033605176501883,-0.0487642997160596,0.05,-0.04061805675035609,-5.0772570937945124e-06,0.030679615757712823,0.09275856485258274,0.05414239949801996,0.0753176734246857,0.05,0.13829668513891546,0.11651982416004882,-0.07449230630154784,0.0,0.0
0.1,-0.7168606909841826,-0.0007168606909841828,0.06135923151542565,0.2840668273844481,0.28262924046415006,-0.02854250961151606,0.1,0.2758442323194171,0.2755889782468519,0.011864045378568772,0.1,-0.04059983472282205,-4.0599834722822054e-05,0.06135923151542565,0.17415948124811842,0.16402268833900246,0.05854983021888426,0.1,0.15079861903882402,0.14405184776473387,-0.04460144234867651,0.0,0.0
0.15000000000000002,-0.7359095975773058,-0.0024836948918234084,0.09203884727313846,0.3379378479118308,0.30747832675817044,-0.140210797106626,0.15000000000000002,0.29620435342470575,0.2845790177730495,0.08216934727180426,0.15000000000000002,-0.04055580356080412,-0.00013687583701771396,0.09203884727313846,0.23418889783386482,0.22591852060721618,-0.06168680503387421,0.15000000000000002,0.16303557643255487,0.1629459844660285,-0.005404195508328276,0.0,0.0
0.2,-0.7544259440780651,-0.006035407552624522,0.1227184630308513,0.3591592484273329,0.24683296500811563,-0.260900082629709,0.2,0.3160194064105039,0.27404900269717447,0.15737029373020597,0.2,-0.04046528972151959,-0.00032372231777215676,0.1227184630308513,0.26530834134823816,0.16943948695012995,-0.20415380537974306,0.2,0.17495560209498812,0.17023501918992953,0.040367077499171775,0.0,0.0
0.25,-0.7687446042183694,-0.012011634440912022,0.15339807878856412,0.339991436508141,0.12230095540097771,-0.31723280600668863,0.25,0.33519133004214385,0.2422408402027902,0.23167348375087657,0.25,-0.040299029077125036,-0.0006296723293300787,0.15339807878856412,0.263366336314055,0.020757243161660242,-0.2625470699890129,0.25,0.18650733160944447,0.16386132832203257,0.08907552876415792,0.0,0.0
0.30000000000000004,-0.7752004517301292,-0.0209304121967135,0.18407769454627693,0.28361009905014223,0.008200366299754661,-0.28349152064176686,0.30000000000000004,0.3536253686418433,0.1891908551162318,0.29876030808571036,0.30000000000000004,-0.040018945819487624,-0.0010805115371261664,0.18407769454627693,0.2281145311901114,-0.11711273152004886,-0.19575711342374577,0.30000000000000004,0.19763992938519484,0.14294181029861852,0.13648875615206757,0.0,0.0
0.35000000000000003,-0.7701283603452533,-0.03301925344980274,0.21475731030398976,0.20846830376604128,-0.03001918744531363,-0.20629561813139316,0.35000000000000003,0.3712295317414304,0.11686482421743753,0.35235490360939936,0.35000000000000003,-0.03957801269867266,-0.0016969072944555907,0.21475731030398976,0.16329675016045472,-0.15021032831663564,-0.06405221213958576,0.35000000000000003,0.2083031028043057,0.10792773075956784,0.17816225069018235,0.0,0.0
0.4,-0.7504487172987815,-0.04802871790712203,0.2454369260617026,0.16796072875843837,0.007155120748611773,-0.16780825561377632,0.4,0.3879143156899799,0.02911201856573685,0.3868203803992928,0.4,-0.03892030265123347,-0.0024908993696789424,0.2454369260617026,0.07640431774262796,-0.07352860018588452,0.020764506361115268,0.4,0.21844716284882074,0.06063949319144538,0.20986189464069901,0.0,0.0
0.45,-0.7201110627565748,-0.06562012059369289,0.2761165418194154,0.2218364528462648,0.049942516634603105,-0.21614152040645837,0.45,0.40359259707958617,-0.06856516044830678,0.39772578894276284,0.45,-0.0379813661586393,-0.0034610519912060067,0.2761165418194154,0.025406820860355565,0.023559756653392834,-0.009510226740888505,0.45,0.2280231140164075,0.004168164159112344,0.22798501471211277,0.0,0.0
